Hotel Appeal,Tech Service,Room Comfort,Support Adequacy,Food Hygiene,Staff Appearance,Service Consistency,Customer Responsiveness,Customer Info,Cost Clarity,Problem Resolution,Checkin Speed,Guest Promptness,Staff Courtesy,Service Training,Security Trust,Safety Assurance,Local Info,Prompt Delivery,Operating Hours,Mgt Acknowledgement,Compensation Offer,Price Equity,Budget Rate,Perceived Value,Economic Fit,Facility Convenience,Physical Access,Website Clarity,Public Transport,Location Suitability,CAST
1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,2,0
1,1,2,1,2,1,0,1,0,1,2,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,0
1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0
2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
1,1,1,0,0,1,0,0,0,1,1,1,1,1,2,0,1,2,0,0,2,2,0,0,0,1,0,0,0,1,1,0
1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1
1,1,1,2,2,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0
1,1,1,1,2,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,2,2,1,1,0,0
1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1
1,2,1,1,2,2,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,2,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,0
0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
0,0,1,1,0,1,1,1,1,1,0,1,1,1,2,1,1,0,0,0,1,0,1,2,1,2,1,0,1,0,1,1
1,1,1,1,2,1,0,1,0,1,0,1,1,1,1,1,1,2,0,0,1,1,1,1,1,1,2,2,2,1,1,1
2,2,1,1,2,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,2
1,1,2,1,2,2,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,2,1,1,1,1
0,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0
1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
1,0,0,0,0,1,1,2,2,2,1,1,1,1,1,2,1,2,1,1,0,0,1,1,1,1,0,0,0,1,1,1
1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1
1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1
1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,2
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,2,2,1,1,1
1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0
2,1,1,1,1,2,1,1,0,1,1,1,0,1,1,2,2,1,1,1,0,0,1,1,2,1,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0
1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,2,1,2,2,0
1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0
1,1,2,2,2,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0
1,1,1,2,2,2,1,1,1,1,1,1,1,0,1,2,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0
0,0,1,1,2,1,2,1,2,1,1,0,1,1,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,0,1,1,2,1,0
1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,0,1
0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0
0,0,1,0,1,2,1,0,1,1,1,0,1,2,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1
1,1,1,1,2,2,1,1,2,1,0,1,1,1,1,0,1,1,1,1,2,1,0,0,1,1,1,1,2,1,1,0
1,0,1,1,0,0,1,1,2,2,0,1,1,0,1,1,1,0,0,0,1,2,1,2,1,1,1,2,2,2,2,1
1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2
1,1,1,1,1,1,0,1,2,1,1,0,1,1,1,1,0,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,2,0,1,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
2,1,1,0,1,0,1,1,0,1,2,2,0,2,1,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,2
1,2,1,2,2,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,2,1,0,1,0,1,0,0
2,2,1,1,2,1,1,0,1,1,2,1,1,0,1,1,1,1,2,2,0,1,2,0,1,1,2,1,2,1,1,1
2,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,1
1,1,1,2,1,1,1,1,1,0,1,2,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,2,2,1
1,1,2,1,2,2,1,0,1,0,1,0,0,1,2,1,1,1,1,1,1,1,1,1,1,0,2,2,2,0,0,0
1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,0,1,1,1,1,1,1
1,0,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,0,0,1,1,2,1,1,1,2,2,2,1
1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,0,2,1,1,0,1,1,0,1,1,1,1,1,1,1,1
1,1,2,0,2,1,1,0,1,1,1,0,0,1,1,1,1,1,2,2,1,1,1,1,1,0,1,0,1,0,1,1
0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1
0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
1,0,1,1,1,1,1,1,2,1,0,1,1,1,0,0,0,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,1
1,1,1,2,2,1,1,0,1,1,2,1,2,1,2,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0
2,0,0,0,2,2,0,1,1,0,1,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,0,1,1,1,1,0
1,1,1,1,0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,0
2,2,1,2,2,1,0,1,0,1,0,0,1,1,1,1,1,2,0,0,1,1,1,1,1,2,2,2,2,1,1,0
1,1,2,2,2,1,0,0,0,1,1,1,1,1,2,0,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,0
2,1,2,2,2,2,0,1,0,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0
1,2,2,0,2,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0
1,1,1,1,1,1,0,0,2,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,2,0,0,1,1,0
1,1,1,1,0,1,0,0,0,1,1,1,1,1,2,1,1,1,1,0,2,1,1,0,0,1,1,0,0,1,1,0
1,0,2,1,2,2,0,0,0,1,0,0,0,1,2,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0
2,1,1,1,1,0,0,1,2,0,0,0,0,2,1,2,1,2,0,1,1,1,0,0,1,1,0,0,0,1,1,0
1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,2,2,0
1,1,1,0,1,1,1,1,1,1,2,2,2,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,2,1,1,0,0,1,0,1,1,1,0
0,0,2,2,1,1,2,1,1,1,0,0,0,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,0
1,2,1,1,2,2,1,1,0,2,0,0,0,2,1,2,2,2,1,1,2,1,1,2,1,2,2,2,2,0,2,1
1,2,2,2,2,1,1,1,1,2,1,1,1,0,0,0,0,0,1,1,0,1,2,1,2,1,1,1,1,1,0,2
1,2,1,1,1,2,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0
1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,1,2
1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,2
1,2,2,2,2,2,0,0,2,2,1,1,1,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,1,1,1
1,2,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1
1,1,2,2,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,2,0,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0
1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,0,1,1,1,1,1,1,1,0
1,2,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1,1,0,0,0,0,1,0,0
0,1,0,0,1,1,1,0,2,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,2,1,1,1,1,1,0,0,1
0,1,0,1,1,2,0,1,1,1,1,1,1,1,0,0,1,1,2,2,1,2,1,1,1,0,1,0,1,2,2,1
1,1,0,1,1,2,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1
1,2,1,1,1,2,0,0,1,0,0,0,0,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,2,1
1,1,1,1,0,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
1,1,1,1,2,1,0,0,1,1,1,1,1,1,1,0,1,1,1,2,0,1,1,1,1,1,2,2,2,2,2,1
0,2,2,1,1,2,2,1,0,2,2,2,2,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0
0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0
1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0
0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,2,2,1,1,1,0,1,1,1,1,1,0
1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,1,2,1,0
1,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0
1,2,2,2,1,2,1,0,1,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,0
2,2,2,1,0,2,1,0,0,1,1,1,1,2,2,1,2,2,1,1,0,0,2,0,2,0,2,2,2,2,1,0
1,1,1,0,1,2,0,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,1,0,1,0,0,0,0,1,0
0,2,0,1,2,2,1,1,0,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,0
1,2,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,0,1,1,1,1,1,1,0
2,2,1,1,2,2,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0
1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0
1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
1,1,1,0,1,1,1,2,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
1,2,1,2,0,0,1,0,0,1,1,1,1,2,2,1,2,2,1,1,1,2,1,0,1,1,0,0,0,0,1,1
1,2,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,2,1,1,1,0,0,1
0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,2,0,1,1,2,2,2,1,1,1
0,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
1,1,1,1,1,1,0,0,2,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1
0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0
1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1
1,1,1,2,2,0,1,2,0,1,1,1,1,2,2,1,2,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0
1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2
1,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0
2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
0,1,1,2,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1
1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,2,0,0,0
1,1,1,2,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0
1,1,1,1,0,1,1,1,1,2,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,2,0,0,0,0,1,1
0,1,2,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1
1,1,1,1,1,2,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0
1,1,1,1,1,2,0,0,2,1,1,1,1,1,1,0,1,0,1,1,1,2,0,0,0,1,1,1,1,1,1,0
0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0
1,1,1,0,1,1,1,0,1,2,1,1,1,2,2,2,2,2,0,0,1,1,1,1,1,1,2,2,2,0,0,0
1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0
1,1,0,1,1,1,1,0,1,1,0,1,2,0,0,2,1,1,0,0,2,2,1,1,1,1,0,0,1,1,1,0
0,0,0,0,0,0,1,1,1,1,1,1,0,2,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,0
2,2,2,1,1,2,2,1,0,1,2,0,2,0,1,1,2,0,1,1,2,1,1,1,2,1,1,1,1,1,0,0
0,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,2,0,0,0,2,1,1,2,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0
0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,2,2,0
1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,0,1,1,2,1,2,1,2,2,2,2,0,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,2,1,1,2,2,1,0,1,0,1,1
1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,2,0,0,1,1,1,1,1,2,2,1
2,1,2,2,2,1,1,1,1,1,1,0,2,0,0,1,0,0,0,1,1,1,1,1,0,2,1,1,1,2,2,1
1,2,2,2,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,1,1,1,0,2,0
2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,2,2,2,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,0,0,0,1,2,2,2,2,2,0
2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,0,0,1,1,1,1,1,2,2,1
1,1,1,1,0,1,1,1,2,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1
1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
2,1,1,2,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1
1,1,0,2,2,0,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,2,2,1
2,1,1,0,2,2,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1
0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1
1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1
1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1
0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,2,2,1,1,0,0,0,0,0,1,2,0
1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1
0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,2,1,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,2,2,2,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1
2,0,2,0,2,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,0,0,1,1,0,0,0,2,2,2,1,0,1
1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0
0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,1,1,1,0,1,0,0,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1
1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,1,2,2,0,0,0,0,2,2,2,2,2,0
0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,2,1,0,1,0,1,0,1,0,0,1,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0
1,1,1,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
2,2,2,2,1,2,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,2,2,2,1,1,1,2,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,2,1,0,1,1,1,2,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,2,1,2,2,0
1,1,1,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,0
1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0
1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,1,0,2,1,1,1,1,1,1,1,1,0,2,0,1,1,2
2,2,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,1,1,2
2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,2,1,1,2
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,2
1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,2,0,1,2,2,1,1,2,0,1,2,1,2,2,1,1,2
0,0,0,0,0,2,0,0,0,0,1,1,0,1,2,2,2,2,1,1,0,0,1,1,1,1,1,1,1,0,0,2
0,0,0,0,0,2,0,0,0,0,1,1,0,1,2,2,2,2,1,1,0,0,1,1,1,1,1,1,1,0,0,2
1,1,1,2,2,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2
1,1,1,2,2,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2
1,2,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,2,1,1,2,2,2,2,2,1,2
2,2,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,0,0,1,0,1,1,1,1,2,1,1,0,0,2
2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,0,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2
1,1,1,2,2,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2
1,2,2,2,2,1,1,1,1,2,1,1,1,0,0,0,0,0,1,1,0,1,2,1,2,1,1,1,1,1,0,2
2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,0,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2
2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,2,1,1,2
1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2
1,1,1,1,1,1,0,0,0,0,0,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2
2,2,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,0,0,1,0,1,1,1,1,2,1,1,0,0,2
2,2,1,1,2,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,2
1,1,1,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2
1,1,1,1,1,0,2,0,1,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2
0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,2
